YEAR,MONTH_NUM,MONTH_MON,FLT_DATE,APT_ICAO,APT_NAME,STATE_NAME,FLT_DEP_1,FLT_ARR_1,FLT_TOT_1,FLT_DEP_IFR_2,FLT_ARR_IFR_2,FLT_TOT_IFR_2
2022,1,JAN,1/1/2022,LATI,Tirana,Albania,26,25,51,,,
2022,1,JAN,1/1/2022,UDYZ,Yerevan,Armenia,29,30,59,,,
2022,1,JAN,1/1/2022,LOWG,Graz,Austria,5,5,10,,,
2022,1,JAN,1/1/2022,LOWI,Innsbruck,Austria,21,21,42,,,
2022,1,JAN,1/1/2022,LOWK,Klagenfurt,Austria,2,2,4,,,
2022,1,JAN,1/1/2022,LOWL,Linz,Austria,5,3,8,,,
2022,1,JAN,1/1/2022,LOWS,Salzburg,Austria,36,37,73,,,
2022,1,JAN,1/1/2022,LOWW,Vienna,Austria,155,146,301,155,146,301
2022,1,JAN,1/1/2022,EBAW,Antwerp,Belgium,9,8,17,,,
2022,1,JAN,1/1/2022,EBAW,Antwerp,Belgium,9,8,17,,,
2022,1,JAN,1/1/2022,EBBR,Brussels,Belgium,148,150,298,148,150,298
2022,1,JAN,1/1/2022,EBCI,Charleroi,Belgium,54,54,108,54,54,108
2022,1,JAN,1/1/2022,EBLG,LiÃ¨ge,Belgium,28,24,52,,,
2022,1,JAN,1/1/2022,EBOS,Ostend-Bruges,Belgium,7,5,12,,,
2022,1,JAN,1/1/2022,LQSA,Sarajevo,Bosnia and Herzegovina,8,8,16,,,
2022,1,JAN,1/1/2022,LBSF,Sofia,Bulgaria,50,48,98,50,47,97
2022,1,JAN,1/1/2022,LDZA,Zagreb,Croatia,28,30,58,28,30,58
2022,1,JAN,1/1/2022,LCLK,Larnaca,Cyprus,40,37,77,,,
2022,1,JAN,1/1/2022,LCPH,Paphos,Cyprus,25,27,52,,,
2022,1,JAN,1/1/2022,LKMT,Ostrava,Czech Republic,1,1,2,,,
2022,1,JAN,1/1/2022,LKPR,Prague,Czech Republic,80,74,154,79,74,153
2022,1,JAN,1/1/2022,LKTB,Brno-TuÅ™any,Czech Republic,1,1,2,,,
2022,1,JAN,1/1/2022,EKCH,Copenhagen - Kastrup,Denmark,138,143,281,138,143,281
2022,1,JAN,1/1/2022,EETN,Tallinn,Estonia,31,30,61,32,30,62
2022,1,JAN,1/1/2022,EFHK,Helsinki - Vantaa,Finland,140,141,281,140,141,281
2022,1,JAN,1/1/2022,LFBD,Bordeaux-MÃ©rignac,France,51,51,102,,,
2022,1,JAN,1/1/2022,LFBE,Bergerac-RoumaniÃ¨re,France,3,3,6,,,
2022,1,JAN,1/1/2022,LFBI,Poitiers-Biard,France,1,1,2,,,
2022,1,JAN,1/1/2022,LFBL,Limoges-Bellegarde,France,2,1,3,,,
2022,1,JAN,1/1/2022,LFBO,Toulouse-Blagnac,France,54,55,109,54,54,108
2022,1,JAN,1/1/2022,LFBP,Pau-PyrÃ©nÃ©es,France,4,5,9,,,
2022,1,JAN,1/1/2022,LFBT,Tarbes-Lourdes PyrÃ©nÃ©es,France,4,4,8,,,
2022,1,JAN,1/1/2022,LFBZ,Biarritz-Bayonne-Anglet,France,6,5,11,,,
2022,1,JAN,1/1/2022,LFGJ,DÃ´le-Tavaux,France,0,1,1,,,
2022,1,JAN,1/1/2022,LFJL,Metz-Nancy-Lorraine,France,0,2,2,,,
2022,1,JAN,1/1/2022,LFKB,Bastia-Poretta,France,22,21,43,,,
2022,1,JAN,1/1/2022,LFKC,Calvi-Sainte-Catherine,France,3,5,8,,,
2022,1,JAN,1/1/2022,LFKF,Figari-Sud Corse,France,6,6,12,,,
2022,1,JAN,1/1/2022,LFKJ,Ajaccio-NapolÃ©on-Bonaparte,France,15,14,29,,,
2022,1,JAN,1/1/2022,LFLB,ChambÃ©ry-Aix-les-Bains,France,21,18,39,,,
2022,1,JAN,1/1/2022,LFLC,Clermont-Ferrand-Auvergne,France,4,3,7,,,
2022,1,JAN,1/1/2022,LFLI,Annemasse,France,3,3,6,,,
2022,1,JAN,1/1/2022,LFLL,Lyon-Saint-ExupÃ©ry,France,74,75,149,75,77,152
2022,1,JAN,1/1/2022,LFLP,Annecy-Meythet,France,3,4,7,,,
2022,1,JAN,1/1/2022,LFLS,Grenoble-IsÃ¨re,France,16,17,33,,,
2022,1,JAN,1/1/2022,LFLX,ChÃ¢teauroux-DÃ©ols,France,2,2,4,,,
2022,1,JAN,1/1/2022,LFLY,Lyon-Bron,France,4,2,6,,,
2022,1,JAN,1/1/2022,LFMD,Cannes-Mandelieu,France,7,6,13,,,
2022,1,JAN,1/1/2022,LFMH,Saint-Etienne-BouthÃ©on,France,1,1,2,,,
2022,1,JAN,1/1/2022,LFML,Marseille-Provence,France,74,75,149,74,75,149
2022,1,JAN,1/1/2022,LFMN,Nice-CÃ´te dâ€™Azur,France,105,103,208,105,102,207
2022,1,JAN,1/1/2022,LFMP,Perpignan-Rivesaltes,France,5,5,10,,,
2022,1,JAN,1/1/2022,LFMT,Montpellier-MÃ©diterranÃ©e,France,14,17,31,,,
2022,1,JAN,1/1/2022,LFMU,BÃ©ziers-Vias,France,2,2,4,,,
2022,1,JAN,1/1/2022,LFMV,Avignon-Caumont,France,1,1,2,,,
2022,1,JAN,1/1/2022,LFOB,Beauvais-TillÃ©,France,35,35,70,,,
2022,1,JAN,1/1/2022,LFOK,ChÃ¢lons-Vatry,France,1,1,2,,,
2022,1,JAN,1/1/2022,LFOP,Rouen,France,1,2,3,,,
2022,1,JAN,1/1/2022,LFOT,Tours-Val de Loire,France,3,2,5,,,
2022,1,JAN,1/1/2022,LFPB,Paris-Le Bourget,France,34,35,69,,,
2022,1,JAN,1/1/2022,LFPG,Paris-Charles-de-Gaulle,France,426,410,836,425,408,833
2022,1,JAN,1/1/2022,LFPN,Toussus-le-Noble,France,6,7,13,,,
2022,1,JAN,1/1/2022,LFPO,Paris-Orly,France,222,220,442,222,220,442
2022,1,JAN,1/1/2022,LFQQ,Lille-Lesquin,France,13,14,27,,,
2022,1,JAN,1/1/2022,LFRB,Brest-Bretagne,France,7,8,15,,,
2022,1,JAN,1/1/2022,LFRD,Dinard-Pleurtuit-Saint-Malo,France,1,0,1,,,
2022,1,JAN,1/1/2022,LFRG,Deauville-Normandie,France,2,1,3,,,
