YEAR,MONTH_NUM,MONTH_MON,FLT_DATE,APT_ICAO,APT_NAME,STATE_NAME,FLT_DEP_1,FLT_ARR_1,FLT_TOT_1,FLT_DEP_IFR_2,FLT_ARR_IFR_2,FLT_TOT_IFR_2
2020,01,JAN,01-01-20,LATI,Tirana,Albania,34,34,68,,,
2020,01,JAN,01-01-20,UDYZ,Yerevan,Armenia,37,35,72,,,
2020,01,JAN,01-01-20,LOWG,Graz,Austria,8,10,18,,,
2020,01,JAN,01-01-20,LOWI,Innsbruck,Austria,19,21,40,,,
2020,01,JAN,01-01-20,LOWK,Klagenfurt,Austria,6,5,11,,,
2020,01,JAN,01-01-20,LOWL,Linz,Austria,1,4,5,,,
2020,01,JAN,01-01-20,LOWS,Salzburg,Austria,22,22,44,,,
2020,01,JAN,01-01-20,LOWW,Vienna,Austria,283,255,538,283,251,534
2020,01,JAN,01-01-20,EBAW,Antwerp,Belgium,5,6,11,,,
2020,01,JAN,01-01-20,EBBR,Brussels,Belgium,202,193,395,201,193,394
2020,01,JAN,01-01-20,EBCI,Charleroi,Belgium,63,64,127,63,63,126
2020,01,JAN,01-01-20,EBLG,Liège,Belgium,9,11,20,,,
2020,01,JAN,01-01-20,EBOS,Ostend-Bruges,Belgium,6,5,11,,,
2020,01,JAN,01-01-20,LQSA,Sarajevo,Bosnia and Herzegovina,10,10,20,,,
2020,01,JAN,01-01-20,LBSF,Sofia,Bulgaria,60,59,119,60,59,119
2020,01,JAN,01-01-20,LDZA,Zagreb,Croatia,38,37,75,38,37,75
2020,01,JAN,01-01-20,LCLK,Larnaca,Cyprus,42,43,85,,,
2020,01,JAN,01-01-20,LCPH,Paphos,Cyprus,27,27,54,,,
2020,01,JAN,01-01-20,LKKV,Karlovy Vary,Czech Republic,2,1,3,,,
2020,01,JAN,01-01-20,LKPR,Prague,Czech Republic,154,152,306,152,151,303
2020,01,JAN,01-01-20,LKTB,Brno-Tuřany,Czech Republic,1,1,2,,,
2020,01,JAN,01-01-20,EKCH,Copenhagen - Kastrup,Denmark,230,221,451,230,221,451
2020,01,JAN,01-01-20,EETN,Tallinn,Estonia,42,45,87,42,45,87
2020,01,JAN,01-01-20,EETU,Tartu,Estonia,0,1,1,,,
2020,01,JAN,01-01-20,EFHK,Helsinki - Vantaa,Finland,210,196,406,215,201,416
2020,01,JAN,01-01-20,LFBD,Bordeaux-Mérignac,France,68,67,135,,,
2020,01,JAN,01-01-20,LFBE,Bergerac-Roumanière,France,2,2,4,,,
2020,01,JAN,01-01-20,LFBI,Poitiers-Biard,France,1,1,2,,,
2020,01,JAN,01-01-20,LFBL,Limoges-Bellegarde,France,3,3,6,,,
2020,01,JAN,01-01-20,LFBO,Toulouse-Blagnac,France,85,88,173,82,87,169
2020,01,JAN,01-01-20,LFBP,Pau-Pyrénées,France,8,8,16,,,
2020,01,JAN,01-01-20,LFBT,Tarbes-Lourdes Pyrénées,France,4,4,8,,,
2020,01,JAN,01-01-20,LFBZ,Biarritz-Bayonne-Anglet,France,8,9,17,,,
2020,01,JAN,01-01-20,LFCR,Rodez-Marcillac,France,1,1,2,,,
2020,01,JAN,01-01-20,LFJL,Metz-Nancy-Lorraine,France,3,5,8,,,
2020,01,JAN,01-01-20,LFKB,Bastia-Poretta,France,12,12,24,,,
2020,01,JAN,01-01-20,LFKC,Calvi-Sainte-Catherine,France,4,4,8,,,
